trial_id,injected_event_id,injected_sequence_id,injected_validation_role,position_index,injection_origin_time,injection_origin_epoch_s,amplitude_snr,zero_amplitude_control,injected_component_count,template_self_excluded,template_recovered,template_peak_score,template_threshold,template_peak_origin_residual_s,template_candidate_origin_residual_s,template_best_event_id,template_best_sequence_id,generic_recovered,generic_peak_score,generic_threshold,generic_peak_trigger_residual_s,generic_candidate_trigger_residual_s
network_injection_00081,40220017,R1.3027.11698.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,0.5,False,26,True,True,0.3572511374950409,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,False,1.402740478515625,1.5937319993972778,5.25,
network_injection_00082,40220017,R1.3027.11698.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,1.0,False,26,True,True,0.5749810934066772,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,True,1.8163930177688599,1.5937319993972778,5.349999904632568,5.349999904632568
network_injection_00083,40220017,R1.3027.11698.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,2.0,False,26,True,True,0.7460166215896606,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,True,2.1514594554901123,1.5937319993972778,2.299999952316284,2.299999952316284
network_injection_00084,40220017,R1.3027.11698.0,neighbor_family_negative,4,2025-01-20T05:36:13.697Z,1737351373.6976523,4.0,False,26,True,True,0.8173692226409912,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,True,3.0065345764160156,1.5937319993972778,2.25,2.25
network_injection_00085,40220017,R1.3027.11698.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,0.0,True,26,True,False,0.05036740377545357,0.10883580148220062,-0.9500000476837158,,21212835,R1.2172.7737.0,False,1.2533529996871948,1.5937319993972778,4.799999952316284,
network_injection_00086,40220017,R1.3027.11698.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,0.25,False,26,True,True,0.19669649004936218,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,False,1.2771247625350952,1.5937319993972778,4.950000047683716,
network_injection_00087,40220017,R1.3027.11698.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,0.5,False,26,True,True,0.36012551188468933,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,False,1.457161784172058,1.5937319993972778,5.0,
network_injection_00088,40220017,R1.3027.11698.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,1.0,False,26,True,True,0.5731332898139954,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,True,1.6824628114700317,1.5937319993972778,4.700000047683716,4.700000047683716
network_injection_00089,40220017,R1.3027.11698.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,2.0,False,26,True,True,0.7462276220321655,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,True,2.187932252883911,1.5937319993972778,2.4000000953674316,2.4000000953674316
network_injection_00090,40220017,R1.3027.11698.0,neighbor_family_negative,5,2025-01-20T05:40:13.747Z,1737351613.7474234,4.0,False,26,True,True,0.8249641060829163,0.10883580148220062,-0.04999995231628418,-0.04999995231628418,51214531,R1.2900.11955.0,True,2.83752179145813,1.5937319993972778,2.25,2.25
