selection_index,path,manifest_start_utc,manifest_end_utc,sample_rate_hz,channel_count,gauge_length_m,file_exists,size_bytes,selection_basis,hdf5_file_opened,hdf5_dataset_opened
29,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052206Z.h5,2025-01-20T05:22:06.083Z,2025-01-20T05:23:06.081Z,500.0,900,16.335237503051758,True,35468197,primary_configuration_and_padded_interval_only,False,False
30,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052306Z.h5,2025-01-20T05:23:06.083Z,2025-01-20T05:24:06.081Z,500.0,900,16.335237503051758,True,35047970,primary_configuration_and_padded_interval_only,False,False
31,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052406Z.h5,2025-01-20T05:24:06.083Z,2025-01-20T05:25:06.081Z,500.0,900,16.335237503051758,True,36330682,primary_configuration_and_padded_interval_only,False,False
32,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052506Z.h5,2025-01-20T05:25:06.083Z,2025-01-20T05:26:06.081Z,500.0,900,16.335237503051758,True,35019884,primary_configuration_and_padded_interval_only,False,False
33,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052606Z.h5,2025-01-20T05:26:06.083Z,2025-01-20T05:27:06.081Z,500.0,900,16.335237503051758,True,35023265,primary_configuration_and_padded_interval_only,False,False
34,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052706Z.h5,2025-01-20T05:27:06.083Z,2025-01-20T05:28:06.081Z,500.0,900,16.335237503051758,True,35090041,primary_configuration_and_padded_interval_only,False,False
35,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052806Z.h5,2025-01-20T05:28:06.083Z,2025-01-20T05:29:06.081Z,500.0,900,16.335237503051758,True,35144980,primary_configuration_and_padded_interval_only,False,False
36,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T052906Z.h5,2025-01-20T05:29:06.083Z,2025-01-20T05:30:06.081Z,500.0,900,16.335237503051758,True,35503108,primary_configuration_and_padded_interval_only,False,False
37,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053006Z.h5,2025-01-20T05:30:06.083Z,2025-01-20T05:31:06.081Z,500.0,900,16.335237503051758,True,35225162,primary_configuration_and_padded_interval_only,False,False
38,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053106Z.h5,2025-01-20T05:31:06.083Z,2025-01-20T05:32:06.081Z,500.0,900,16.335237503051758,True,35191359,primary_configuration_and_padded_interval_only,False,False
39,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053206Z.h5,2025-01-20T05:32:06.083Z,2025-01-20T05:33:06.081Z,500.0,900,16.335237503051758,True,35122267,primary_configuration_and_padded_interval_only,False,False
40,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053306Z.h5,2025-01-20T05:33:06.083Z,2025-01-20T05:34:06.081Z,500.0,900,16.335237503051758,True,35013454,primary_configuration_and_padded_interval_only,False,False
41,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053406Z.h5,2025-01-20T05:34:06.083Z,2025-01-20T05:35:06.081Z,500.0,900,16.335237503051758,True,35226561,primary_configuration_and_padded_interval_only,False,False
42,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053506Z.h5,2025-01-20T05:35:06.083Z,2025-01-20T05:36:06.081Z,500.0,900,16.335237503051758,True,34912875,primary_configuration_and_padded_interval_only,False,False
43,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053606Z.h5,2025-01-20T05:36:06.083Z,2025-01-20T05:37:06.081Z,500.0,900,16.335237503051758,True,34874242,primary_configuration_and_padded_interval_only,False,False
44,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053706Z.h5,2025-01-20T05:37:06.083Z,2025-01-20T05:38:06.081Z,500.0,900,16.335237503051758,True,35124412,primary_configuration_and_padded_interval_only,False,False
45,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053806Z.h5,2025-01-20T05:38:06.083Z,2025-01-20T05:39:06.081Z,500.0,900,16.335237503051758,True,35264734,primary_configuration_and_padded_interval_only,False,False
46,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T053906Z.h5,2025-01-20T05:39:06.083Z,2025-01-20T05:40:06.081Z,500.0,900,16.335237503051758,True,35427470,primary_configuration_and_padded_interval_only,False,False
47,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T054006Z.h5,2025-01-20T05:40:06.083Z,2025-01-20T05:41:06.081Z,500.0,900,16.335237503051758,True,35561561,primary_configuration_and_padded_interval_only,False,False
48,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T054106Z.h5,2025-01-20T05:41:06.083Z,2025-01-20T05:42:06.081Z,500.0,900,16.335237503051758,True,35365353,primary_configuration_and_padded_interval_only,False,False
49,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T054206Z.h5,2025-01-20T05:42:06.083Z,2025-01-20T05:43:06.081Z,500.0,900,16.335237503051758,True,35502680,primary_configuration_and_padded_interval_only,False,False
50,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T054306Z.h5,2025-01-20T05:43:06.083Z,2025-01-20T05:44:06.081Z,500.0,900,16.335237503051758,True,35313218,primary_configuration_and_padded_interval_only,False,False
51,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T054406Z.h5,2025-01-20T05:44:06.083Z,2025-01-20T05:45:06.081Z,500.0,900,16.335237503051758,True,35334115,primary_configuration_and_padded_interval_only,False,False
52,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2025-01-20T054506Z.h5,2025-01-20T05:45:06.083Z,2025-01-20T05:46:06.081Z,500.0,900,16.335237503051758,True,35153608,primary_configuration_and_padded_interval_only,False,False
