event_id,origin_time,latitude,longitude,depth_km,magnitude,horizontal_distance_m,east_m,north_m,depth_difference_km,requested_start_utc,requested_end_utc,coverage_complete,coverage_segment_id,intersecting_file_count,source_files,source_files_exist,family_neighborhood_gate,nomination_status,family_label,waveform_access_status
75065306,2024-09-22T11:20:48.420Z,36.00433,-120.56934,2.15,0.5,1903.0360984050951,741.9702416767265,-1752.4344644805028,-2.6810000000000005,2024-09-22T11:20:38.420Z,2024-09-22T11:21:18.420Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75065721,2024-09-23T10:55:35.260Z,36.01266,-120.58334,-0.74,0.5,974.6777493893521,-517.1307745022707,-826.1794461358709,-5.571000000000001,2024-09-23T10:55:25.260Z,2024-09-23T10:56:05.260Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75067611,2024-09-28T04:11:46.860Z,36.07883,-120.6525,4.13,1.7,9383.504918933544,-6737.089794421763,6531.59901291775,-0.7010000000000005,2024-09-28T04:11:36.860Z,2024-09-28T04:12:16.860Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-09-28T041103Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-09-28T041203Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75069226,2024-10-02T02:16:57.660Z,35.93417,-120.48734,4.97,1.0,12536.249200446808,8116.704765005011,-9553.881293665321,0.13899999999999935,2024-10-02T02:16:47.660Z,2024-10-02T02:17:27.660Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-02T021603Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-02T021703Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75069511,2024-10-02T16:36:53.840Z,35.88133,-120.43584,10.46,0.8,20014.71797777705,12748.3977888034,-15429.42933320557,5.6290000000000004,2024-10-02T16:36:43.840Z,2024-10-02T16:37:23.840Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-02T163603Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-02T163703Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75070031,2024-10-03T18:21:57.410Z,35.987,-120.54017,10.06,0.9,4986.403007922583,3365.397144670076,-3679.445204927759,5.229,2024-10-03T18:21:47.410Z,2024-10-03T18:22:27.410Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-03T182103Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-03T182203Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75070206,2024-10-04T10:25:45.510Z,35.966,-120.52084,7.65,1.2,7888.2228189980715,5103.8559048642355,-6014.541889832039,2.819,2024-10-04T10:25:35.510Z,2024-10-04T10:26:15.510Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-04T102503Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-04T102603Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75071201,2024-10-06T14:13:05.260Z,35.995,-120.55483,1.16,0.7,3460.2620038772734,2046.9385091585766,-2789.884563059989,-3.6710000000000003,2024-10-06T14:12:55.260Z,2024-10-06T14:13:35.260Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-06T141203Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-06T141303Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75071276,2024-10-06T18:38:46.700Z,36.03117,-120.607,-0.2,1.4,2917.8779999454878,-2645.011491842578,1232.0414889875176,-5.031000000000001,2024-10-06T18:38:36.700Z,2024-10-06T18:39:16.700Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-06T183803Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-06T183903Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75071706,2024-10-07T17:42:27.290Z,35.981,-120.5405,1.88,0.7,5479.058745361456,3335.718335003825,-4346.6156863289825,-2.9510000000000005,2024-10-07T17:42:17.290Z,2024-10-07T17:42:57.290Z,True,103,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-07T174203Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75072501,2024-10-09T23:04:10.750Z,36.038,-120.6,3.0,0.7,2833.402673270201,-2015.460983753079,1991.503886981844,-1.8310000000000004,2024-10-09T23:04:00.750Z,2024-10-09T23:04:40.750Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-09T230303Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-09T230403Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75072711,2024-10-10T15:47:06.910Z,35.96017,-120.515,4.99,2.0,8722.360822485116,5629.080900184807,-6662.809207593882,0.1589999999999998,2024-10-10T15:46:56.910Z,2024-10-10T15:47:36.910Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-10T154603Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-10T154703Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75074401,2024-10-15T05:20:29.330Z,35.8825,-120.4305,10.05,1.3,20225.4009106853,13228.654890688824,-15299.331089332125,5.219,2024-10-15T05:20:19.330Z,2024-10-15T05:20:59.330Z,True,103,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-15T052003Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75075471,2024-10-17T14:15:30.670Z,35.82017,-120.38,6.05,1.6,28459.898137117245,17770.412127616924,-22230.120440288552,1.2189999999999994,2024-10-17T14:15:20.670Z,2024-10-17T14:16:00.670Z,True,103,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-17T141503Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75075736,2024-10-18T09:45:58.000Z,36.14317,-120.727,5.31,1.5,19179.801573109668,-13437.305916226678,13685.890475142622,0.4789999999999992,2024-10-18T09:45:48.000Z,2024-10-18T09:46:28.000Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-18T094503Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-18T094603Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75076376,2024-10-20T10:39:20.800Z,36.099,-120.4495,6.82,2.4,14480.941970499165,11519.874940160918,8774.403781227344,1.9889999999999999,2024-10-20T10:39:10.800Z,2024-10-20T10:39:50.800Z,True,103,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-20T103903Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75076581,2024-10-20T23:28:36.910Z,35.93817,-120.4915,9.32,1.0,11955.046634305581,7742.5718916264805,-9109.100972731436,4.489,2024-10-20T23:28:26.910Z,2024-10-20T23:29:06.910Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-20T232803Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-20T232903Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75077756,2024-10-23T17:02:29.730Z,36.063,-120.63533,0.47,0.8,7052.10652326629,-5192.892333865546,4771.380892820799,-4.361000000000001,2024-10-23T17:02:19.730Z,2024-10-23T17:02:59.730Z,True,103,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-23T170203Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75079421,2024-10-27T01:40:05.600Z,36.06633,-120.638,2.07,0.3,7480.266621908963,-5433.020884808897,5141.660509998272,-2.7610000000000006,2024-10-27T01:39:55.600Z,2024-10-27T01:40:35.600Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-27T013903Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-27T014003Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75081346,2024-10-31T15:56:54.170Z,36.0775,-120.6455,1.12,1.1,8834.805251509415,-6107.539286332264,6383.709556206823,-3.7110000000000003,2024-10-31T15:56:44.170Z,2024-10-31T15:57:24.170Z,True,103,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-31T155603Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-09-25T184442Z/SAFOD-Zumberge-16mGL-500HzFs_2024-10-31T155703Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75083106,2024-11-06T04:43:52.140Z,36.03767,-120.59283,4.25,1.6,2387.4428207366677,-1370.621391897241,1954.8095105049822,-0.5810000000000004,2024-11-06T04:43:42.140Z,2024-11-06T04:44:22.140Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75083406,2024-11-07T07:00:24.280Z,36.01183,-120.56983,3.77,1.5,1153.5408252616185,697.9017061105639,-918.4713627289746,-1.0610000000000004,2024-11-07T07:00:14.280Z,2024-11-07T07:00:54.280Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75083781,2024-11-08T01:39:43.510Z,36.00017,-120.561,1.19,0.6,2670.658931938772,1492.0347041704758,-2215.00599825266,-3.6410000000000005,2024-11-08T01:39:33.510Z,2024-11-08T01:40:13.510Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75084576,2024-11-09T21:34:01.050Z,36.019,-120.582,3.64,1.1,414.7227764527885,-396.61682009546394,-121.202637455098,-1.1910000000000003,2024-11-09T21:33:51.050Z,2024-11-09T21:34:31.050Z,False,,0,,False,True,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75087156,2024-11-17T00:12:07.860Z,36.00033,-120.55833,1.45,0.5,2797.881762264731,1732.1632551138275,-2197.214785415178,-3.3810000000000002,2024-11-17T00:11:57.860Z,2024-11-17T00:12:37.860Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75087811,2024-11-18T14:34:45.730Z,35.97167,-120.5295,10.48,1.9,6906.076534096954,4325.011990571941,-5384.065784907678,5.649,2024-11-18T14:34:35.730Z,2024-11-18T14:35:15.730Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75088016,2024-11-19T04:51:37.040Z,36.1245,-120.704,4.38,0.8,16249.261445979988,-11368.782818218875,11609.878327182541,-0.4510000000000005,2024-11-19T04:51:27.040Z,2024-11-19T04:52:07.040Z,False,,0,,False,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75094221,2024-12-02T22:27:05.850Z,35.95167,-120.4915,3.31,0.3,10854.887714660947,7742.5718916264805,-7607.967389578684,-1.5210000000000004,2024-12-02T22:26:55.850Z,2024-12-02T22:27:35.850Z,True,109,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2024-12-02T222606Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2024-12-02T222706Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75094291,2024-12-03T01:17:00.680Z,36.01317,-120.57267,0.91,0.9,887.6238873659872,442.4840713995948,-769.4699552161507,-3.9210000000000003,2024-12-03T01:16:50.680Z,2024-12-03T01:17:30.680Z,True,109,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2024-12-03T011606Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2024-12-03T011706Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75100191,2024-12-09T17:36:21.130Z,35.99467,-120.554,3.28,1.0,3534.214525791193,2121.5852122599745,-2826.5789395368506,-1.5510000000000006,2024-12-09T17:36:11.130Z,2024-12-09T17:36:51.130Z,True,109,1,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2024-12-09T173606Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
75100196,2024-12-09T17:50:58.170Z,36.00167,-120.56133,2.06,0.9,2516.676936678489,1462.3558945042246,-2048.2133779023543,-2.7710000000000004,2024-12-09T17:50:48.170Z,2024-12-09T17:51:28.170Z,True,109,2,/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2024-12-09T175006Z.h5;/oak/stanford/groups/ettore88/data/SAFOD/SAFODAS1-harddrive-transfer/recording_2024-11-20T202704Z/SAFOD-Zumberge-16mGL-500HzFs_2024-12-09T175106Z.h5,True,False,not_nominated,,EMBARGOED_UNTIL_NETWORK_MODEL_FROZEN
