pair_name,reference_event_id,comparison_event_id,trace_id,reference_trace_id,comparison_trace_id,reference_location,comparison_location,station,component,sample_rate_hz,band,band_low_hz,band_high_hz,reference_snr,comparison_snr,correlation,lag_s,usable
deep_named_75336682_anchor_51214531,75336682,51214531,BP.GHIB.DP3,BP.GHIB.40.DP3,BP.GHIB..DP3,40,,GHIB,DP3,250.0,10.0-40.0Hz,10.0,40.0,2.5606246391334953,7.0787172932911755,0.8876212766651331,-0.012,False
deep_named_75336682_anchor_51214531,75336682,51214531,BP.GHIB.DP3,BP.GHIB.40.DP3,BP.GHIB..DP3,40,,GHIB,DP3,250.0,2.0-40.0Hz,2.0,40.0,3.1772868950873714,7.057501522107244,0.9095803279008416,-0.012,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.JCSB.DP1,BP.JCSB.40.DP1,BP.JCSB..DP1,40,,JCSB,DP1,250.0,2.0-10.0Hz,2.0,10.0,682.60013328321,200.72198493799243,0.997482987792167,-0.024,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.JCSB.DP1,BP.JCSB.40.DP1,BP.JCSB..DP1,40,,JCSB,DP1,250.0,5.0-20.0Hz,5.0,20.0,667.2172749972285,233.38728867768125,0.9959812875112947,-0.024,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.JCSB.DP1,BP.JCSB.40.DP1,BP.JCSB..DP1,40,,JCSB,DP1,250.0,10.0-40.0Hz,10.0,40.0,433.5098310354984,202.90688667496175,0.9950865314297492,-0.024,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.JCSB.DP1,BP.JCSB.40.DP1,BP.JCSB..DP1,40,,JCSB,DP1,250.0,2.0-40.0Hz,2.0,40.0,604.599403261502,206.18878309743977,0.9962463643312,-0.024,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.JCSB.DP2,BP.JCSB.40.DP2,BP.JCSB..DP2,40,,JCSB,DP2,250.0,2.0-10.0Hz,2.0,10.0,5.342554340162256,8.062473712609913,0.2508579140680588,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.JCSB.DP2,BP.JCSB.40.DP2,BP.JCSB..DP2,40,,JCSB,DP2,250.0,5.0-20.0Hz,5.0,20.0,11.185613682210715,6.255771928011976,0.8648547028479668,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.JCSB.DP2,BP.JCSB.40.DP2,BP.JCSB..DP2,40,,JCSB,DP2,250.0,10.0-40.0Hz,10.0,40.0,14.507880142196402,8.20395255156163,0.9466345252304827,-0.016,True
deep_named_75336682_anchor_51214531,75336682,51214531,BP.JCSB.DP2,BP.JCSB.40.DP2,BP.JCSB..DP2,40,,JCSB,DP2,250.0,2.0-40.0Hz,2.0,40.0,11.26236851848585,7.98762608110911,0.6249088006961656,-0.016,True
