block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,median_channel_snr,peak_robust_z,detected,shot_number,shot_name
52,2600,2648,4400,4448,13,1.6216601133346558,19.66999745776128,True,3,SAFOD260010
53,2652,2696,4452,4496,12,1.6074309349060059,69.95584787073015,True,3,SAFOD260010
54,2700,2748,4500,4548,13,1.4254913330078125,13.939871119080172,True,3,SAFOD260010
55,2752,2796,4552,4596,12,1.3240610361099243,11.133402050006548,True,3,SAFOD260010
56,2800,2848,4600,4648,13,1.4458868503570557,3.300896480555989,False,3,SAFOD260010
57,2852,2896,4652,4696,12,1.4042901992797852,5.953495054826673,True,3,SAFOD260010
58,2900,2948,4700,4748,13,8.84694766998291,136.1554109224552,True,3,SAFOD260010
59,2952,2996,4752,4796,12,8.747063636779785,57.81125069232469,True,3,SAFOD260010
60,3000,3048,4800,4848,13,5.218927383422852,68.96043279518409,True,3,SAFOD260010
61,3052,3096,4852,4896,12,1.8055745363235474,15.311828979936514,True,3,SAFOD260010
62,3100,3148,4900,4948,13,4.927188873291016,85.87234231485021,True,3,SAFOD260010
63,3152,3196,4952,4996,12,1.516096830368042,19.45035925268444,True,3,SAFOD260010
0,0,48,1800,1848,13,1.2068125009536743,12.073175390880234,True,4,SAFOD260011
1,52,96,1852,1896,12,1.3090986013412476,15.203125870325154,True,4,SAFOD260011
2,100,148,1900,1948,13,1.5550771951675415,21.394230045148454,True,4,SAFOD260011
3,152,196,1952,1996,12,10.457803726196289,53.829338219170076,True,4,SAFOD260011
4,200,248,2000,2048,13,7.025590419769287,380.0010929568385,True,4,SAFOD260011
5,252,296,2052,2096,12,41.96855545043945,670.8228755398866,True,4,SAFOD260011
6,300,348,2100,2148,13,15.988625526428223,1011.577907135502,True,4,SAFOD260011
7,352,396,2152,2196,12,45.5906982421875,663.7358118326794,True,4,SAFOD260011
8,400,448,2200,2248,13,62.37031936645508,981.2296067220624,True,4,SAFOD260011
9,452,496,2252,2296,12,165.6016845703125,1738.320609383331,True,4,SAFOD260011
10,500,548,2300,2348,13,8.72043514251709,680.2230366940887,True,4,SAFOD260011
11,552,596,2352,2396,12,6.883839130401611,133.8471687728722,True,4,SAFOD260011
12,600,648,2400,2448,13,4.866539478302002,121.9597554147978,True,4,SAFOD260011
13,652,696,2452,2496,12,8.801953315734863,121.1305012231888,True,4,SAFOD260011
14,700,748,2500,2548,13,8.661076545715332,53.365921937474766,True,4,SAFOD260011
15,752,796,2552,2596,12,7.444374084472656,117.81187094771688,True,4,SAFOD260011
16,800,848,2600,2648,13,6.283907413482666,76.29343269082142,True,4,SAFOD260011
17,852,896,2652,2696,12,8.897388458251953,156.88302052888736,True,4,SAFOD260011
18,900,948,2700,2748,13,10.586044311523438,166.87723394578535,True,4,SAFOD260011
19,952,996,2752,2796,12,8.804780960083008,97.75737821603254,True,4,SAFOD260011
20,1000,1048,2800,2848,13,11.139615058898926,128.54188012320756,True,4,SAFOD260011
21,1052,1096,2852,2896,12,10.958091735839844,60.82816555688889,True,4,SAFOD260011
22,1100,1148,2900,2948,13,8.705657958984375,82.71639565435875,True,4,SAFOD260011
23,1152,1196,2952,2996,12,8.010306358337402,67.11776515273232,True,4,SAFOD260011
24,1200,1248,3000,3048,13,8.181174278259277,106.69225084417259,True,4,SAFOD260011
25,1252,1296,3052,3096,12,8.98037338256836,87.61130508183551,True,4,SAFOD260011
26,1300,1348,3100,3148,13,8.45705795288086,77.73862074591568,True,4,SAFOD260011
27,1352,1396,3152,3196,12,7.806759834289551,73.30154338284153,True,4,SAFOD260011
