comparison_candidate_id,interval_id,comparison_time,comparison_epoch_s,comparison_time_basis,comparison_membership,DAS_candidate_id,DAS_parent_v1_candidate_id,DAS_trigger_time,DAS_trigger_epoch_s,DAS_coincidence_score,DAS_v1_interval_null_threshold,DAS_strong_block_count,DAS_v1_score_rank_within_interval,network_union_candidate_id,network_representative_time,network_representative_epoch_s,network_representative_time_basis,network_branch_membership,network_template_candidate_id,network_generic_candidate_id,DAS_minus_network_time_s,absolute_time_difference_s,matching_window_s,matching_rule,catalog_fields_used_in_matching,family_assignment
heldout_compare_0021,heldout_03,2024-06-16T04:12:39.710Z,1718511159.7101998,DAS_energy_arrival,DAS_only,das_v2_heldout_03_0002,das_v1_heldout_03_0050,2024-06-16T04:12:39.710Z,1718511159.7101998,2.04178786277771,1.3350657224655151,4,2,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0022,heldout_04,2024-06-18T12:11:33.916Z,1718712693.9162,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0001,das_v1_heldout_04_0004,2024-06-18T12:11:33.916Z,1718712693.9162,2.3902082443237305,1.5268930196762085,8,1,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0023,heldout_04,2024-06-18T12:16:44.916Z,1718713004.9162,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0002,das_v1_heldout_04_0014,2024-06-18T12:16:44.916Z,1718713004.9162,2.0407676696777344,1.5268930196762085,4,10,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0024,heldout_04,2024-06-18T12:18:20.316Z,1718713100.3162,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0003,das_v1_heldout_04_0019,2024-06-18T12:18:20.316Z,1718713100.3162,2.148252010345459,1.5268930196762085,5,4,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0025,heldout_04,2024-06-18T12:18:50.016Z,1718713130.0162,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0004,das_v1_heldout_04_0021,2024-06-18T12:18:50.016Z,1718713130.0162,2.003779411315918,1.5268930196762085,4,13,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0026,heldout_04,2024-06-18T12:23:06.266Z,1718713386.2662,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0005,das_v1_heldout_04_0029,2024-06-18T12:23:06.266Z,1718713386.2662,2.302556037902832,1.5268930196762085,4,2,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0027,heldout_04,2024-06-18T12:25:02.266Z,1718713502.2662,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0006,das_v1_heldout_04_0030,2024-06-18T12:25:02.266Z,1718713502.2662,2.074012041091919,1.5268930196762085,4,9,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0028,heldout_04,2024-06-18T12:27:54.816Z,1718713674.8162,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0007,das_v1_heldout_04_0037,2024-06-18T12:27:54.816Z,1718713674.8162,2.007589817047119,1.5268930196762085,4,12,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0029,heldout_04,2024-06-18T12:31:38.866Z,1718713898.8662,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0008,das_v1_heldout_04_0041,2024-06-18T12:31:38.866Z,1718713898.8662,2.0743460655212402,1.5268930196762085,5,8,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0030,heldout_04,2024-06-18T12:33:37.466Z,1718714017.4662,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0009,das_v1_heldout_04_0042,2024-06-18T12:33:37.466Z,1718714017.4662,2.235687255859375,1.5268930196762085,5,3,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0031,heldout_04,2024-06-18T12:35:48.765Z,1718714148.765,network_representative,network_only,,,,,,,,,network_union_heldout_04_0001,2024-06-18T12:35:48.765Z,1718714148.765,template_origin,template_bank,network_template_heldout_04_0001,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0032,heldout_04,2024-06-18T12:41:57.816Z,1718714517.8162,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0010,das_v1_heldout_04_0052,2024-06-18T12:41:57.816Z,1718714517.8162,2.108741283416748,1.5268930196762085,6,6,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0033,heldout_04,2024-06-18T12:45:21.366Z,1718714721.3662,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0011,das_v1_heldout_04_0058,2024-06-18T12:45:21.366Z,1718714721.3662,2.011129379272461,1.5268930196762085,4,11,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0034,heldout_04,2024-06-18T12:48:05.116Z,1718714885.1162,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0012,das_v1_heldout_04_0061,2024-06-18T12:48:05.116Z,1718714885.1162,2.1140971183776855,1.5268930196762085,5,5,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0035,heldout_04,2024-06-18T12:50:29.666Z,1718715029.6662,DAS_energy_arrival,DAS_only,das_v2_heldout_04_0013,das_v1_heldout_04_0066,2024-06-18T12:50:29.666Z,1718715029.6662,2.1067943572998047,1.5268930196762085,6,7,,,,,,,,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0036,heldout_06,2025-01-03T04:00:09.272Z,1735876809.2719998,network_representative,network_only,,,,,,,,,network_union_heldout_06_0001,2025-01-03T04:00:09.272Z,1735876809.2719998,generic_trigger_arrival,generic_trigger,,network_generic_heldout_06_0001,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0037,heldout_07,2025-01-27T01:46:08.306Z,1737942368.306,network_representative,network_only,,,,,,,,,network_union_heldout_07_0001,2025-01-27T01:46:08.306Z,1737942368.306,generic_trigger_arrival,generic_trigger,,network_generic_heldout_07_0001,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0038,heldout_07,2025-01-27T02:08:30.706Z,1737943710.7059999,network_representative,network_only,,,,,,,,,network_union_heldout_07_0002,2025-01-27T02:08:30.706Z,1737943710.7059999,generic_trigger_arrival,generic_trigger,,network_generic_heldout_07_0002,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0039,heldout_08,2025-02-18T07:44:26.737Z,1739864666.7374,DAS_energy_arrival,DAS+network,das_v2_heldout_08_0001,das_v1_heldout_08_0023,2025-02-18T07:44:26.737Z,1739864666.7374,4.176882743835449,1.4216015338897705,10,1,network_union_heldout_08_0001,2025-02-18T07:44:26.637Z,1739864666.6369998,generic_trigger_arrival,generic_trigger,,network_generic_heldout_08_0001,0.10040020942687988,0.10040020942687988,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0040,heldout_08,2025-02-18T08:18:32.087Z,1739866712.087,network_representative,network_only,,,,,,,,,network_union_heldout_08_0002,2025-02-18T08:18:32.087Z,1739866712.087,generic_trigger_arrival,generic_trigger,,network_generic_heldout_08_0002,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0041,heldout_08,2025-02-18T08:18:40.437Z,1739866720.4369998,network_representative,network_only,,,,,,,,,network_union_heldout_08_0003,2025-02-18T08:18:40.437Z,1739866720.4369998,generic_trigger_arrival,generic_trigger,,network_generic_heldout_08_0003,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0042,heldout_09,2025-03-18T15:08:35.384Z,1742310515.384,network_representative,network_only,,,,,,,,,network_union_heldout_09_0001,2025-03-18T15:08:35.384Z,1742310515.384,generic_trigger_arrival,generic_trigger,,network_generic_heldout_09_0001,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0043,heldout_09,2025-03-18T15:40:27.684Z,1742312427.684,network_representative,network_only,,,,,,,,,network_union_heldout_09_0002,2025-03-18T15:40:27.684Z,1742312427.684,generic_trigger_arrival,generic_trigger,,network_generic_heldout_09_0002,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0044,heldout_10,2025-03-30T20:57:45.487Z,1743368265.487,network_representative,network_only,,,,,,,,,network_union_heldout_10_0001,2025-03-30T20:57:45.487Z,1743368265.487,generic_trigger_arrival,generic_trigger,,network_generic_heldout_10_0001,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0045,heldout_10,2025-03-30T20:57:54.487Z,1743368274.487,network_representative,network_only,,,,,,,,,network_union_heldout_10_0002,2025-03-30T20:57:54.487Z,1743368274.487,generic_trigger_arrival,generic_trigger,,network_generic_heldout_10_0002,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0046,heldout_10,2025-03-30T21:50:49.887Z,1743371449.887,network_representative,network_only,,,,,,,,,network_union_heldout_10_0003,2025-03-30T21:50:49.887Z,1743371449.887,generic_trigger_arrival,generic_trigger,,network_generic_heldout_10_0003,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0047,heldout_11,2025-04-02T02:45:36.709Z,1743561936.709,network_representative,network_only,,,,,,,,,network_union_heldout_11_0001,2025-04-02T02:45:36.709Z,1743561936.709,generic_trigger_arrival,generic_trigger,,network_generic_heldout_11_0001,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0048,heldout_11,2025-04-02T02:46:03.609Z,1743561963.6090002,network_representative,network_only,,,,,,,,,network_union_heldout_11_0002,2025-04-02T02:46:03.609Z,1743561963.6090002,generic_trigger_arrival,generic_trigger,,network_generic_heldout_11_0002,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0049,heldout_11,2025-04-02T02:50:18.259Z,1743562218.259,network_representative,network_only,,,,,,,,,network_union_heldout_11_0003,2025-04-02T02:50:18.259Z,1743562218.259,generic_trigger_arrival,generic_trigger,,network_generic_heldout_11_0003,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0050,heldout_11,2025-04-02T02:50:54.159Z,1743562254.1590002,network_representative,network_only,,,,,,,,,network_union_heldout_11_0004,2025-04-02T02:50:54.159Z,1743562254.1590002,generic_trigger_arrival,generic_trigger,,network_generic_heldout_11_0004,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0051,heldout_11,2025-04-02T02:53:45.509Z,1743562425.509,network_representative,network_only,,,,,,,,,network_union_heldout_11_0005,2025-04-02T02:53:45.509Z,1743562425.509,generic_trigger_arrival,generic_trigger,,network_generic_heldout_11_0005,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0052,heldout_11,2025-04-02T02:54:28.159Z,1743562468.1590002,network_representative,network_only,,,,,,,,,network_union_heldout_11_0006,2025-04-02T02:54:28.159Z,1743562468.1590002,generic_trigger_arrival,generic_trigger,,network_generic_heldout_11_0006,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0053,heldout_11,2025-04-02T02:55:03.709Z,1743562503.709,network_representative,network_only,,,,,,,,,network_union_heldout_11_0007,2025-04-02T02:55:03.709Z,1743562503.709,generic_trigger_arrival,generic_trigger,,network_generic_heldout_11_0007,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
heldout_compare_0054,heldout_11,2025-04-02T03:00:37.209Z,1743562837.209,network_representative,network_only,,,,,,,,,network_union_heldout_11_0008,2025-04-02T03:00:37.209Z,1743562837.209,generic_trigger_arrival,generic_trigger,,network_generic_heldout_11_0008,,,8.0,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference_within_interval,0,not_assigned
