interval_id,union_candidate_id,representative_time,representative_epoch_s,representative_time_basis,branch_membership,branch_count,template_candidate_id,template_origin_time,template_origin_epoch_s,template_bank_score,template_threshold,generic_candidate_id,generic_trigger_time,generic_trigger_epoch_s,generic_coincidence_score,generic_threshold,generic_station_support_count,cross_branch_time_difference_s,union_generation_rule,catalog_fields_used_in_grouping,family_assignment
heldout_03,network_union_heldout_03_0005,2024-06-16T04:07:01.859Z,1718510821.859,template_origin,template_bank,1,network_template_heldout_03_0004,2024-06-16T04:07:01.859Z,1718510821.859,0.11750320345163345,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_03,network_union_heldout_03_0006,2024-06-16T04:09:33.759Z,1718510973.7589998,template_origin,template_bank,1,network_template_heldout_03_0005,2024-06-16T04:09:33.759Z,1718510973.7589998,0.11618422716856003,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_03,network_union_heldout_03_0007,2024-06-16T04:10:45.809Z,1718511045.809,template_origin,template_bank,1,network_template_heldout_03_0006,2024-06-16T04:10:45.809Z,1718511045.809,0.13253183662891388,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_04,network_union_heldout_04_0001,2024-06-18T12:35:48.765Z,1718714148.765,template_origin,template_bank,1,network_template_heldout_04_0001,2024-06-18T12:35:48.765Z,1718714148.765,0.11478529125452042,0.10883580148220062,,,,,,,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_06,network_union_heldout_06_0001,2025-01-03T04:00:09.272Z,1735876809.2719998,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_06_0001,2025-01-03T04:00:09.272Z,1735876809.2719998,1.7438886165618896,1.5937319993972778,0,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_07,network_union_heldout_07_0001,2025-01-27T01:46:08.306Z,1737942368.306,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_07_0001,2025-01-27T01:46:08.306Z,1737942368.306,3.0351099967956543,1.5937319993972778,5,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_07,network_union_heldout_07_0002,2025-01-27T02:08:30.706Z,1737943710.7059999,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_07_0002,2025-01-27T02:08:30.706Z,1737943710.7059999,1.5972164869308472,1.5937319993972778,0,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_08,network_union_heldout_08_0001,2025-02-18T07:44:26.637Z,1739864666.6369998,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_08_0001,2025-02-18T07:44:26.637Z,1739864666.6369998,4.469809055328369,1.5937319993972778,6,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_08,network_union_heldout_08_0002,2025-02-18T08:18:32.087Z,1739866712.087,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_08_0002,2025-02-18T08:18:32.087Z,1739866712.087,2.6234593391418457,1.5937319993972778,6,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_08,network_union_heldout_08_0003,2025-02-18T08:18:40.437Z,1739866720.4369998,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_08_0003,2025-02-18T08:18:40.437Z,1739866720.4369998,1.6994874477386475,1.5937319993972778,2,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_09,network_union_heldout_09_0001,2025-03-18T15:08:35.384Z,1742310515.384,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_09_0001,2025-03-18T15:08:35.384Z,1742310515.384,1.61716628074646,1.5937319993972778,1,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_09,network_union_heldout_09_0002,2025-03-18T15:40:27.684Z,1742312427.684,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_09_0002,2025-03-18T15:40:27.684Z,1742312427.684,1.7138830423355103,1.5937319993972778,1,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_10,network_union_heldout_10_0001,2025-03-30T20:57:45.487Z,1743368265.487,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_10_0001,2025-03-30T20:57:45.487Z,1743368265.487,3.1178019046783447,1.5937319993972778,4,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_10,network_union_heldout_10_0002,2025-03-30T20:57:54.487Z,1743368274.487,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_10_0002,2025-03-30T20:57:54.487Z,1743368274.487,1.7794013023376465,1.5937319993972778,1,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_10,network_union_heldout_10_0003,2025-03-30T21:50:49.887Z,1743371449.887,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_10_0003,2025-03-30T21:50:49.887Z,1743371449.887,1.9520933628082275,1.5937319993972778,1,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_11,network_union_heldout_11_0001,2025-04-02T02:45:36.709Z,1743561936.709,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_11_0001,2025-04-02T02:45:36.709Z,1743561936.709,1.8514598608016968,1.5937319993972778,2,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_11,network_union_heldout_11_0002,2025-04-02T02:46:03.609Z,1743561963.6090002,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_11_0002,2025-04-02T02:46:03.609Z,1743561963.6090002,1.802971363067627,1.5937319993972778,1,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_11,network_union_heldout_11_0003,2025-04-02T02:50:18.259Z,1743562218.259,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_11_0003,2025-04-02T02:50:18.259Z,1743562218.259,1.6651569604873657,1.5937319993972778,0,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_11,network_union_heldout_11_0004,2025-04-02T02:50:54.159Z,1743562254.1590002,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_11_0004,2025-04-02T02:50:54.159Z,1743562254.1590002,1.691145658493042,1.5937319993972778,0,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_11,network_union_heldout_11_0005,2025-04-02T02:53:45.509Z,1743562425.509,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_11_0005,2025-04-02T02:53:45.509Z,1743562425.509,1.6883965730667114,1.5937319993972778,1,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_11,network_union_heldout_11_0006,2025-04-02T02:54:28.159Z,1743562468.1590002,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_11_0006,2025-04-02T02:54:28.159Z,1743562468.1590002,1.6606453657150269,1.5937319993972778,0,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_11,network_union_heldout_11_0007,2025-04-02T02:55:03.709Z,1743562503.709,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_11_0007,2025-04-02T02:55:03.709Z,1743562503.709,1.6278398036956787,1.5937319993972778,0,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
heldout_11,network_union_heldout_11_0008,2025-04-02T03:00:37.209Z,1743562837.209,generic_trigger_arrival,generic_trigger,1,,,,,,network_generic_heldout_11_0008,2025-04-02T03:00:37.209Z,1743562837.209,1.79714035987854,1.5937319993972778,1,,ordered_one_to_one_maximum_cardinality_then_minimum_total_absolute_time_difference,0,not_assigned
