pair_name,reference_event_id,comparison_event_id,trace_id,reference_trace_id,comparison_trace_id,reference_location,comparison_location,station,component,sample_rate_hz,band,band_low_hz,band_high_hz,reference_snr,comparison_snr,correlation,lag_s,usable
blind_A,75336682,72154411,BP.CCRB.DP3,BP.CCRB.40.DP3,BP.CCRB.40.DP3,40,40,CCRB,DP3,250.0,10.0-40.0Hz,10.0,40.0,1833.8013481128764,1420.2795343342214,0.9753864843837771,0.04,True
blind_A,75336682,72154411,BP.CCRB.DP3,BP.CCRB.40.DP3,BP.CCRB.40.DP3,40,40,CCRB,DP3,250.0,2.0-40.0Hz,2.0,40.0,1122.41165344694,1043.156285384481,0.9661912466729415,0.04,True
blind_A,75336682,72154411,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB.40.DP1,40,40,LCCB,DP1,250.0,2.0-10.0Hz,2.0,10.0,690.9008979365634,1001.8509223045113,0.9713398645855206,0.032,True
blind_A,75336682,72154411,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB.40.DP1,40,40,LCCB,DP1,250.0,5.0-20.0Hz,5.0,20.0,1446.960050781072,1920.2355947395904,0.9775076847504859,0.032,True
blind_A,75336682,72154411,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB.40.DP1,40,40,LCCB,DP1,250.0,10.0-40.0Hz,10.0,40.0,1117.897190606578,1447.3693267240874,0.9835321204877283,0.028,True
blind_A,75336682,72154411,BP.LCCB.DP1,BP.LCCB.40.DP1,BP.LCCB.40.DP1,40,40,LCCB,DP1,250.0,2.0-40.0Hz,2.0,40.0,800.5611939215778,1156.0263265459116,0.9663977774351561,0.032,True
blind_A,75336682,72154411,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB.40.DP2,40,40,LCCB,DP2,250.0,2.0-10.0Hz,2.0,10.0,241.94870997644685,351.40914857732406,0.9938660604118118,0.028,True
blind_A,75336682,72154411,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB.40.DP2,40,40,LCCB,DP2,250.0,5.0-20.0Hz,5.0,20.0,299.70580918181815,381.51275111797696,0.9918107797717283,0.028,True
blind_A,75336682,72154411,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB.40.DP2,40,40,LCCB,DP2,250.0,10.0-40.0Hz,10.0,40.0,203.67826644732844,254.7227746665356,0.9863692753665259,0.028,True
blind_A,75336682,72154411,BP.LCCB.DP2,BP.LCCB.40.DP2,BP.LCCB.40.DP2,40,40,LCCB,DP2,250.0,2.0-40.0Hz,2.0,40.0,221.8767390013183,292.4412959480593,0.9896900565174271,0.028,True
blind_A,75336682,72154411,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB.40.DP3,40,40,LCCB,DP3,250.0,2.0-10.0Hz,2.0,10.0,647.8554715109351,1050.0167572094294,0.9633619943966121,0.036,True
blind_A,75336682,72154411,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB.40.DP3,40,40,LCCB,DP3,250.0,5.0-20.0Hz,5.0,20.0,1143.1740879362753,1591.1669837538484,0.9762168165797801,0.032,True
blind_A,75336682,72154411,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB.40.DP3,40,40,LCCB,DP3,250.0,10.0-40.0Hz,10.0,40.0,1003.1124691936136,1058.1156485381814,0.9722648406674556,0.032,True
blind_A,75336682,72154411,BP.LCCB.DP3,BP.LCCB.40.DP3,BP.LCCB.40.DP3,40,40,LCCB,DP3,250.0,2.0-40.0Hz,2.0,40.0,724.2210061610293,1086.271357564851,0.9529450399241377,0.032,True
blind_A,75336682,72154411,BP.SCYB.DP1,BP.SCYB.40.DP1,BP.SCYB.40.DP1,40,40,SCYB,DP1,250.0,2.0-10.0Hz,2.0,10.0,1274.9982363575928,1104.5922259362526,0.9736505410064874,0.048,True
blind_A,75336682,72154411,BP.SCYB.DP1,BP.SCYB.40.DP1,BP.SCYB.40.DP1,40,40,SCYB,DP1,250.0,5.0-20.0Hz,5.0,20.0,1619.1658500330348,1268.1092329188448,0.9791678414395323,0.044,True
blind_A,75336682,72154411,BP.SCYB.DP1,BP.SCYB.40.DP1,BP.SCYB.40.DP1,40,40,SCYB,DP1,250.0,10.0-40.0Hz,10.0,40.0,1159.7939491218203,759.9960738242416,0.9898489043224119,0.04,True
blind_A,75336682,72154411,BP.SCYB.DP1,BP.SCYB.40.DP1,BP.SCYB.40.DP1,40,40,SCYB,DP1,250.0,2.0-40.0Hz,2.0,40.0,1281.1291244701883,985.6004335363821,0.9553404769863683,0.044,True
blind_A,75336682,72154411,BP.SCYB.DP2,BP.SCYB.40.DP2,BP.SCYB.40.DP2,40,40,SCYB,DP2,250.0,2.0-10.0Hz,2.0,10.0,1059.153984891933,1282.3505965211116,0.9791192300065673,0.048,True
blind_A,75336682,72154411,BP.SCYB.DP2,BP.SCYB.40.DP2,BP.SCYB.40.DP2,40,40,SCYB,DP2,250.0,5.0-20.0Hz,5.0,20.0,1842.642945616688,1175.326963720956,0.9798359927418271,0.044,True
blind_A,75336682,72154411,BP.SCYB.DP2,BP.SCYB.40.DP2,BP.SCYB.40.DP2,40,40,SCYB,DP2,250.0,10.0-40.0Hz,10.0,40.0,978.5466261053829,574.2576507674382,0.987819942225901,0.04,True
blind_A,75336682,72154411,BP.SCYB.DP2,BP.SCYB.40.DP2,BP.SCYB.40.DP2,40,40,SCYB,DP2,250.0,2.0-40.0Hz,2.0,40.0,1061.96349531387,1005.8934331890839,0.9615489846659871,0.044,True
blind_A,75336682,72154411,BP.SCYB.DP3,BP.SCYB.40.DP3,BP.SCYB.40.DP3,40,40,SCYB,DP3,250.0,2.0-10.0Hz,2.0,10.0,983.1650582874873,710.9933052927175,0.9703593379941587,0.048,True
blind_A,75336682,72154411,BP.SCYB.DP3,BP.SCYB.40.DP3,BP.SCYB.40.DP3,40,40,SCYB,DP3,250.0,5.0-20.0Hz,5.0,20.0,1875.1691179412328,789.0754437271917,0.978231210582001,0.044,True
