block_id,column_start,column_end,locus_start,locus_end,sampled_channel_count,median_channel_snr,peak_robust_z,detected,event_id,role
44,2200,2248,4000,4048,13,2.956829309463501,61.25445752718483,True,75336682,deep_template
45,2252,2296,4052,4096,12,2.526581048965454,99.78537676401308,True,75336682,deep_template
46,2300,2348,4100,4148,13,1.9707788228988647,40.07904117410377,True,75336682,deep_template
47,2352,2396,4152,4196,12,5.335529327392578,333.99239444708417,True,75336682,deep_template
48,2400,2448,4200,4248,13,3.4591917991638184,201.67778011803105,True,75336682,deep_template
49,2452,2496,4252,4296,12,2.0280027389526367,62.664191291431884,True,75336682,deep_template
50,2500,2548,4300,4348,13,4.402186870574951,225.40218377571554,True,75336682,deep_template
51,2552,2596,4352,4396,12,3.2469093799591064,149.31254422125744,True,75336682,deep_template
52,2600,2648,4400,4448,13,6.081604957580566,214.86107323256434,True,75336682,deep_template
53,2652,2696,4452,4496,12,3.0772452354431152,239.01021878718214,True,75336682,deep_template
54,2700,2748,4500,4548,13,3.1418561935424805,228.4078311926626,True,75336682,deep_template
55,2752,2796,4552,4596,12,3.9879817962646484,456.4652315672107,True,75336682,deep_template
56,2800,2848,4600,4648,13,2.7526919841766357,232.09759409117626,True,75336682,deep_template
57,2852,2896,4652,4696,12,5.257242679595947,324.6936978019334,True,75336682,deep_template
58,2900,2948,4700,4748,13,7.024338722229004,204.56946577300863,True,75336682,deep_template
59,2952,2996,4752,4796,12,5.496517181396484,135.8692106275623,True,75336682,deep_template
60,3000,3048,4800,4848,13,3.716883420944214,27.970509479889515,True,75336682,deep_template
61,3052,3096,4852,4896,12,3.6431477069854736,111.66614897605378,True,75336682,deep_template
62,3100,3148,4900,4948,13,3.130880117416382,23.87918916489539,True,75336682,deep_template
63,3152,3196,4952,4996,12,1.7858378887176514,6.335103417234895,True,75336682,deep_template
0,0,48,1800,1848,13,1.0236197710037231,4.682969492391426,False,75343317,hard_spatial_control
1,52,96,1852,1896,12,1.0410113334655762,5.830007575729919,True,75343317,hard_spatial_control
2,100,148,1900,1948,13,1.1691491603851318,19.621818242555875,True,75343317,hard_spatial_control
3,152,196,1952,1996,12,16.482229232788086,191.57442140433037,True,75343317,hard_spatial_control
4,200,248,2000,2048,13,5.495399475097656,74.62877712741478,True,75343317,hard_spatial_control
5,252,296,2052,2096,12,6.512960433959961,115.67175259745942,True,75343317,hard_spatial_control
6,300,348,2100,2148,13,4.31271505355835,97.6339839659114,True,75343317,hard_spatial_control
7,352,396,2152,2196,12,8.363175392150879,133.90680042648668,True,75343317,hard_spatial_control
8,400,448,2200,2248,13,10.672478675842285,909.6761866075625,True,75343317,hard_spatial_control
9,452,496,2252,2296,12,11.984731674194336,256.74358814317867,True,75343317,hard_spatial_control
10,500,548,2300,2348,13,5.836067199707031,193.2426221998357,True,75343317,hard_spatial_control
11,552,596,2352,2396,12,3.68027925491333,117.18554818238282,True,75343317,hard_spatial_control
12,600,648,2400,2448,13,3.4579834938049316,449.46737442782035,True,75343317,hard_spatial_control
13,652,696,2452,2496,12,5.625890731811523,176.0851626662811,True,75343317,hard_spatial_control
14,700,748,2500,2548,13,3.793391466140747,104.50092628173121,True,75343317,hard_spatial_control
15,752,796,2552,2596,12,5.994308948516846,214.4274263728426,True,75343317,hard_spatial_control
16,800,848,2600,2648,13,4.206077575683594,298.61793886327433,True,75343317,hard_spatial_control
17,852,896,2652,2696,12,5.655712604522705,282.1688815223232,True,75343317,hard_spatial_control
18,900,948,2700,2748,13,3.645331382751465,245.285694105068,True,75343317,hard_spatial_control
19,952,996,2752,2796,12,3.7638397216796875,224.56774212711457,True,75343317,hard_spatial_control
20,1000,1048,2800,2848,13,4.907593250274658,408.40041083367936,True,75343317,hard_spatial_control
21,1052,1096,2852,2896,12,2.476680040359497,45.366700144033146,True,75343317,hard_spatial_control
